"companyname","companynumber","regaddress_careof","regaddress_pobox","regaddress_addressline1","regaddress_addressline2","regaddress_posttown","regaddress_county","regaddress_country","regaddress_postcode","companycategory","companystatus","countryoforigin","dissolutiondate","incorporationdate","accounts_accountrefday","accounts_accountrefmonth","accounts_nextduedate","accounts_lastmadeupdate","accounts_accountcategory","returns_nextduedate","returns_lastmadeupdate","mortgages_nummortcharges","mortgages_nummortoutstanding","mortgages_nummortpartsatisfied","mortgages_nummortsatisfied","siccode_sictext_1","siccode_sictext_2","siccode_sictext_3","siccode_sictext_4","limitedpartnerships_numgenpartners","limitedpartnerships_numlimpartners","uri","previousname_1_condate","previousname_1_companyname","previousname_2_condate","previousname_2_companyname","previousname_3_condate","previousname_3_companyname","previousname_4_condate","previousname_4_companyname","previousname_5_condate","previousname_5_companyname","previousname_6_condate","previousname_6_companyname","previousname_7_condate","previousname_7_companyname","previousname_8_condate","previousname_8_companyname","previousname_9_condate","previousname_9_companyname","previousname_10_condate","previousname_10_companyname","confstmtnextduedate","confstmtlastmadeupdate","ref_period"
"HOME AND LEGACY INSURANCE SERVICES LIMITED","03007252","","","57 LADYMEAD","","GUILDFORD","SURREY","","GU1 1DB","Private Limited Company","Active","United Kingdom","","09/01/1995","31","12","30/09/2018","31/12/2016","FULL","06/02/2017","09/01/2016","6","0","0","6","66220 - Activities of insurance agents and brokers","","","","0","0","http://business.data.gov.uk/id/company/03007252","","","","","","","","","","","","","","","","","","","","","24/01/2018","10/01/2017","201706"
"HOME BREWERY LIMITED","00032311","","","ELSLEY COURT","20-22 GREAT TITCHFIELD STREET","LONDON","","","W1W 8BE","Private Limited Company","Active","United Kingdom","","29/08/1890","31","12","30/09/2015","31/12/2013","DORMANT","03/10/2015","05/09/2014","2","0","0","2","74990 - Non-trading company","","","","0","0","http://business.data.gov.uk/id/company/00032311","","","","","","","","","","","","","","","","","","","","","19/09/2018","","201706"
"HOME CHARM GROUP TRUSTEES LIMITED","01915772","","","WITAN GATE HOUSE","500-600 WITAN GATE","MILTON KEYNES","","UNITED KINGDOM","MK9 1BA","Private Limited Company","Active","United Kingdom","","22/05/1985","28","2","30/11/2017","27/02/2016","DORMANT","31/05/2017","03/05/2016","0","0","0","0","82990 - Other business support service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/01915772","","","","","","","","","","","","","","","","","","","","","17/05/2018","03/05/2017","201706"
"HOME COMFORTS CARE SWANSEA LIMITED","04988527","","","1 HAWKSWORTH ROAD","CENTRAL PARK","TELFORD","SHROPSHIRE","","TF2 9TU","Private Limited Company","Active","United Kingdom","","08/12/2003","31","3","31/12/2017","31/03/2016","FULL","05/01/2017","08/12/2015","1","0","0","1","88990 - Other social work activities without accommodation n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/04988527","","","","","","","","","","","","","","","","","","","","","19/01/2018","05/01/2017","201706"
"HOME COUNTIES FINANCE LIMITED","01752564","","","UNIT 1 MARTINBRIDGE ESTATE","LINCOLN ROAD","ENFIELD","MIDDLESEX","","EN1 1SP","Private Limited Company","Active","United Kingdom","","13/09/1983","31","12","30/09/2017","31/12/2015","TOTAL EXEMPTION SMALL","15/06/2017","18/05/2016","9","6","0","3","64999 - Financial intermediation not elsewhere classified","","","","0","0","http://business.data.gov.uk/id/company/01752564","","","","","","","","","","","","","","","","","","","","","01/06/2018","18/05/2017","201706"
"HOME GROUP LIMITED","IP22981R","","","","","","","","","Industrial and Provident Society","Active","United Kingdom","","01/01/1981","","","","","NO ACCOUNTS FILED","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/IP22981R","","","","","","","","","","","","","","","","","","","","","15/01/2018","","201706"
"HOME IN SCOTLAND LIMITED","SP1935RS","","","UNIT 3 Q COURT","QUALITY STREET","DAVIDSONS MAINS","EDINBURGH","","EH4 5BP","Industrial and Provident Society","Active","United Kingdom","","28/11/1983","","","","","NO ACCOUNTS FILED","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/SP1935RS","","","","","","","","","","","","","","","","","","","","","12/12/2017","","201706"
"HOME RETAIL GROUP (UK) LIMITED","05844516","","","AVEBURY","489-499 AVEBURY BOULEVARD","MILTON KEYNES","","UNITED KINGDOM","MK9 2NW","Private Limited Company","Active","United Kingdom","","13/06/2006","13","3","13/12/2017","27/02/2016","FULL","11/07/2017","13/06/2016","1","1","0","0","82990 - Other business support service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/05844516","16/11/2006","ARG (UK) LIMITED","13/07/2006","HACKREMCO (NO. 2383) LIMITED","","","","","","","","","","","","","","","","","27/06/2018","","201706"
"HOME RETAIL GROUP CARD SERVICES LIMITED","04007072","","","AVEBURY","489-499 AVEBURY BOULEVARD","MILTON KEYNES","","UNITED KINGDOM","MK9 2NW","Private Limited Company","Active","United Kingdom","","02/06/2000","28","2","30/11/2017","27/02/2016","FULL","05/04/2017","08/03/2016","0","0","0","0","64921 - Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors","","","","0","0","http://business.data.gov.uk/id/company/04007072","24/10/2006","ARG CARD SERVICES LIMITED","10/07/2000","INHOCO 2083 LIMITED","","","","","","","","","","","","","","","","","22/03/2018","08/03/2017","201706"
"HOME RETAIL GROUP HOLDINGS (OVERSEAS) LIMITED","00872776","","","33 HOLBORN","","LONDON","","UNITED KINGDOM","EC1N 2HT","Private Limited Company","Active","United Kingdom","","02/03/1966","13","3","13/12/2017","27/02/2016","FULL","11/01/2017","14/12/2015","0","0","0","0","70100 - Activities of head offices","","","","0","0","http://business.data.gov.uk/id/company/00872776","27/10/2006","ARG HOLDINGS (ASIA) LIMITED","21/03/2005","G.U.S. MERCHANDISE CORPORATION LIMITED","","","","","","","","","","","","","","","","","28/12/2017","14/12/2016","201706"
